Source,Target,Weight,Type
Caesar_DBC,Caesar_DBG-01,2,undirected
Caesar_DBC,Caesar_DBG-02,1,undirected
Caesar_DBC,Caesar_DBG-03,2,undirected
Caesar_DBC,Caesar_DBG-04,2,undirected
Caesar_DBC,Caesar_DBG-05,4,undirected
Caesar_DBC,Caesar_DBG-06,4,undirected
Caesar_DBC,Caesar_DBG-07,5,undirected
Caesar_DBC,Hirtius_DBG-08,2,undirected
Caesar_DBG-01,Caesar_DBC,2,undirected
Caesar_DBG-01,Caesar_DBG-05,3,undirected
Caesar_DBG-01,Caesar_DBG-07,1,undirected
Caesar_DBG-02,Caesar_DBC,1,undirected
Caesar_DBG-02,Caesar_DBG-05,2,undirected
Caesar_DBG-02,Caesar_DBG-07,3,undirected
Caesar_DBG-03,Caesar_DBC,2,undirected
Caesar_DBG-03,Caesar_DBG-04,4,undirected
Caesar_DBG-03,Caesar_DBG-07,4,undirected
Caesar_DBG-04,Caesar_DBC,2,undirected
Caesar_DBG-04,Caesar_DBG-03,4,undirected
Caesar_DBG-04,Caesar_DBG-05,1,undirected
Caesar_DBG-05,Caesar_DBC,4,undirected
Caesar_DBG-05,Caesar_DBG-01,3,undirected
Caesar_DBG-05,Caesar_DBG-02,2,undirected
Caesar_DBG-05,Caesar_DBG-04,1,undirected
Caesar_DBG-05,Caesar_DBG-06,3,undirected
Caesar_DBG-05,Caesar_DBG-07,6,undirected
Caesar_DBG-05,Hirtius_DBG-08,1,undirected
Caesar_DBG-06,Caesar_DBC,4,undirected
Caesar_DBG-06,Caesar_DBG-05,3,undirected
Caesar_DBG-06,Caesar_DBG-07,1,undirected
Caesar_DBG-07,Caesar_DBC,5,undirected
Caesar_DBG-07,Caesar_DBG-01,1,undirected
Caesar_DBG-07,Caesar_DBG-02,3,undirected
Caesar_DBG-07,Caesar_DBG-03,4,undirected
Caesar_DBG-07,Caesar_DBG-05,6,undirected
Caesar_DBG-07,Caesar_DBG-06,1,undirected
Caesar_DBG-07,Hirtius_DBG-08,3,undirected
Hirtius_DBG-08,Caesar_DBC,2,undirected
Hirtius_DBG-08,Caesar_DBG-05,1,undirected
Hirtius_DBG-08,Caesar_DBG-07,3,undirected
