,Caesar_1,Caesar_2,Caesar_3,Caesar_4,Caesar_5,Caesar_6,Caesar_7,Hirtius_VIII,DBC
Caesar_1,0.0,131.018774,143.971447,136.130091,116.214709,128.982645,125.467996,155.146374,120.032133
Caesar_2,131.018774,0.0,123.190797,121.49858,112.186663,134.0119,110.648074,148.578179,114.378759
Caesar_3,143.971447,123.190797,0.0,112.956461,117.631436,127.54906,109.020134,139.969268,111.60404
Caesar_4,136.130091,121.49858,112.956461,0.0,116.506527,134.720943,126.160629,155.290447,114.7171
Caesar_5,116.214709,112.186663,117.631436,116.506527,0.0,106.28892,81.796194,135.781606,85.646152
Caesar_6,128.982645,134.0119,127.54906,134.720943,106.28892,0.0,112.734331,156.62777,105.294303
Caesar_7,125.467996,110.648074,109.020134,126.160629,81.796194,112.734331,0.0,124.291481,83.692065
Hirtius_VIII,155.146374,148.578179,139.969268,155.290447,135.781606,156.62777,124.291481,0.0,134.637691
DBC,120.032133,114.378759,111.60404,114.7171,85.646152,105.294303,83.692065,134.637691,0.0
