segment_id,author_group,work,book,total_tokens,",",.,in,et,ad,cum,;,ex,atque,ut,se,quod,ab,qui,non,caesar,neque,quae,a,de,esse,est,ac,:,eo,his,quam,erat,aut,ne,si,omnibus,sed,castris,eius,omnes,castra,rebus,quibus,per,sibi,quo,causa,loco,eorum,erant,eum,caesaris,haec,hoc,id,milites,caesarem,etiam,ipse,tamen,sunt,esset,suis,re,eos,ea,quos,hostium,sese,hostes,militum,inter,locum,legiones,qua,rei,res,tempore,magna,die,exercitum,proelio,parte,pro,omnium,ante,posse,partem,naues,suos,iam,oppidum,numero,nostri,sine,ibi,bellum,milia,equites,quorum,posset,ubi,uti,locis
dbg_book01,caesar,dbg,1,9407,0.0768576592,0.0326352716,0.0192409908,0.0207292442,0.0117997236,0.0093547358,0.0099925587,0.0061656213,0.0049962794,0.0078664824,0.0097799511,0.0121186351,0.0047836717,0.0073349633,0.0096736473,0.0045710641,0.0053151908,0.0030828107,0.0062719252,0.0039332412,0.0076538748,0.0046773679,0.0029765069,0.0059530137,0.0049962794,0.0031891145,0.0054214946,0.002338684,0.0038269374,0.0032954183,0.005208887,0.0014882534,0.0021260763,0.0025512916,0.0036143298,0.0015945572,0.0017008611,0.0014882534,0.0013819496,0.0035080259,0.0042521527,0.0019134687,0.0017008611,0.0009567343,0.0024449878,0.0010630382,0.0030828107,0.0007441267,0.0008504305,0.0009567343,0.002870203,0.0006378229,0.0018071649,0.0018071649,0.0019134687,0.0009567343,0.0010630382,0.0022323801,0.0025512916,0.0012756458,0.0027638992,0.0029765069,0.0013819496,0.0014882534,0.0027638992,0.001169342,0.0008504305,0.0018071649,0.001169342,0.0005315191,0.0015945572,0.0010630382,0.0013819496,0.0008504305,0.0007441267,0.0017008611,0.0013819496,0.0015945572,0.0006378229,0.0015945572,0.001169342,0.001169342,0.0015945572,0.0014882534,0.0,0.001169342,0.0006378229,0.0004252153,0.0007441267,0.0006378229,0.0012756458,0.0007441267,0.0014882534,0.0015945572,0.0005315191,0.0007441267,0.0013819496,0.0012756458,0.0026575954,0.0005315191
dbg_book02,caesar,dbg,2,4747,0.0745734148,0.0303349484,0.0246471456,0.018538024,0.0155887929,0.0122182431,0.0103223088,0.009269012,0.0071624184,0.0082157152,0.0065304403,0.006951759,0.0101116495,0.0099009901,0.0061091216,0.0052664841,0.004634506,0.004634506,0.0037918685,0.0029492311,0.0058984622,0.0042131873,0.0048451654,0.0027385717,0.0029492311,0.0050558247,0.0033705498,0.0021065936,0.0010532968,0.0021065936,0.0025279124,0.0027385717,0.0014746155,0.0035812092,0.0012639562,0.0027385717,0.0033705498,0.0021065936,0.0008426375,0.0012639562,0.0025279124,0.0021065936,0.0018959343,0.0025279124,0.0044238466,0.0031598905,0.0021065936,0.0006319781,0.0010532968,0.0006319781,0.0014746155,0.0016852749,0.0016852749,0.002317253,0.0008426375,0.0004213187,0.0016852749,0.0010532968,0.0016852749,0.0014746155,0.0031598905,0.0010532968,0.0012639562,0.0021065936,0.0025279124,0.0035812092,0.0006319781,0.002317253,0.0029492311,0.0027385717,0.0010532968,0.0008426375,0.0012639562,0.0012639562,0.0006319781,0.0004213187,0.0016852749,0.0014746155,0.0021065936,0.0012639562,0.0010532968,0.0012639562,0.0008426375,0.0016852749,0.0,0.0018959343,0.0010532968,0.0021065936,0.0008426375,0.0029492311,0.0010532968,0.0012639562,0.0012639562,0.0029492311,0.0012639562,0.0014746155,0.0012639562,0.0021065936,0.0016852749,0.0004213187
dbg_book03,caesar,dbg,3,4104,0.0816276803,0.0299707602,0.0219298246,0.0182748538,0.0124269006,0.011208577,0.0060916179,0.0087719298,0.0070662768,0.0063352827,0.0060916179,0.0090155945,0.0048732943,0.0048732943,0.0056042885,0.0026803119,0.0060916179,0.003411306,0.0031676413,0.0026803119,0.0024366472,0.0046296296,0.0073099415,0.0021929825,0.0036549708,0.0053606238,0.0026803119,0.003411306,0.001705653,0.0019493177,0.001705653,0.0029239766,0.0014619883,0.0021929825,0.0024366472,0.0029239766,0.0024366472,0.0024366472,0.0031676413,0.0021929825,0.0021929825,0.0026803119,0.0026803119,0.0014619883,0.0014619883,0.001705653,0.0012183236,0.0004873294,0.0009746589,0.0012183236,0.001705653,0.001705653,0.0007309942,0.0014619883,0.0012183236,0.001705653,0.0019493177,0.0014619883,0.0004873294,0.0014619883,0.0009746589,0.0019493177,0.0019493177,0.0024366472,0.0007309942,0.0021929825,0.0012183236,0.0004873294,0.0004873294,0.0,0.0007309942,0.0019493177,0.0009746589,0.0012183236,0.0007309942,0.0002436647,0.001705653,0.0012183236,0.0019493177,0.001705653,0.0012183236,0.0004873294,0.0019493177,0.0007309942,0.0026803119,0.001705653,0.0024366472,0.0007309942,0.001705653,0.001705653,0.0007309942,0.0007309942,0.0031676413,0.0,0.0004873294,0.0009746589,0.0007309942,0.0026803119,0.0014619883,0.0014619883
dbg_book04,caesar,dbg,4,5221,0.0769967439,0.0310285386,0.0229841027,0.0235587052,0.0155142693,0.010151312,0.0078529017,0.0107259146,0.010151312,0.006129094,0.0093851753,0.0076613676,0.0047883547,0.0068952308,0.0051714231,0.0067036966,0.007086765,0.0063206282,0.0049798889,0.003064547,0.0044052863,0.0045968205,0.0034476154,0.0032560812,0.0022984103,0.0051714231,0.0032560812,0.003064547,0.0022984103,0.0015322735,0.0032560812,0.0036391496,0.0019153419,0.0019153419,0.0011492051,0.0021068761,0.0022984103,0.003064547,0.0045968205,0.0013407393,0.0032560812,0.0022984103,0.0028730128,0.0011492051,0.0026814786,0.0022984103,0.0019153419,0.0003830684,0.0026814786,0.0021068761,0.0019153419,0.0007661368,0.0013407393,0.0011492051,0.0013407393,0.0022984103,0.0026814786,0.0007661368,0.0013407393,0.0011492051,0.003064547,0.0024899445,0.0024899445,0.0013407393,0.0013407393,0.0024899445,0.0007661368,0.0009576709,0.0003830684,0.0009576709,0.0005746026,0.0009576709,0.0017238077,0.0009576709,0.0013407393,0.0011492051,0.0015322735,0.0022984103,0.0013407393,0.0005746026,0.0003830684,0.0007661368,0.0009576709,0.0022984103,0.0028730128,0.0015322735,0.0007661368,0.0,0.0003830684,0.0019153419,0.0007661368,0.0011492051,0.0017238077,0.0007661368,0.0017238077,0.0017238077,0.0005746026,0.0009576709,0.0019153419,0.0019153419
dbg_book05,caesar,dbg,5,8477,0.0765601038,0.0343281821,0.0215878259,0.0159254453,0.0161613778,0.0116786599,0.0109708623,0.0097911997,0.0097911997,0.0074318745,0.007195942,0.0070779757,0.007195942,0.0047186505,0.004954583,0.0037749204,0.0042467854,0.0033030553,0.0035389878,0.0044827179,0.0047186505,0.0042467854,0.0033030553,0.0055444143,0.0036569541,0.0029491565,0.002713224,0.0016515277,0.0018874602,0.0020054264,0.0025952578,0.0034210216,0.0025952578,0.0014155951,0.0029491565,0.0038928866,0.0021233927,0.0025952578,0.0020054264,0.0015335614,0.0011796626,0.0017694939,0.002241359,0.0023593252,0.0014155951,0.0015335614,0.0023593252,0.0016515277,0.0012976289,0.0017694939,0.0017694939,0.0014155951,0.0021233927,0.0008257638,0.0017694939,0.0023593252,0.0012976289,0.0012976289,0.0012976289,0.0020054264,0.0010616964,0.0016515277,0.0012976289,0.0017694939,0.0018874602,0.0023593252,0.0024772915,0.0015335614,0.0016515277,0.0007077976,0.0015335614,0.0005898313,0.0011796626,0.0005898313,0.0011796626,0.0016515277,0.0007077976,0.0009437301,0.0015335614,0.002241359,0.0008257638,0.0009437301,0.0014155951,0.0016515277,0.0016515277,0.0010616964,0.0009437301,0.0002359325,0.0007077976,0.0010616964,0.0010616964,0.0010616964,0.000471865,0.0012976289,0.0012976289,0.0007077976,0.0012976289,0.0003538988,0.0011796626,0.000471865
dbg_book06,caesar,dbg,6,6293,0.0769108533,0.0375019863,0.0246305419,0.0141426982,0.0127125377,0.0101700302,0.0082631495,0.0081042428,0.0106467504,0.0081042428,0.0081042428,0.0047672017,0.0060384554,0.0077864294,0.0066740823,0.0023836008,0.0049261084,0.0049261084,0.0022246941,0.0047672017,0.0031781344,0.0061973621,0.003972668,0.0073097092,0.0015890672,0.0036548546,0.0030192277,0.0019068807,0.0063562689,0.0036548546,0.0036548546,0.0023836008,0.002860321,0.0012712538,0.0030192277,0.0031781344,0.0020657874,0.0025425075,0.0017479739,0.0025425075,0.0011123471,0.0020657874,0.0025425075,0.0022246941,0.0033370412,0.0015890672,0.0015890672,0.0007945336,0.0019068807,0.0031781344,0.0006356269,0.0007945336,0.0012712538,0.0020657874,0.0012712538,0.0003178134,0.003972668,0.0003178134,0.0007945336,0.0012712538,0.0015890672,0.0015890672,0.0011123471,0.0009534403,0.0019068807,0.0012712538,0.0011123471,0.0019068807,0.0022246941,0.0007945336,0.0007945336,0.0017479739,0.0009534403,0.0007945336,0.0011123471,0.0004767202,0.0006356269,0.0004767202,0.0006356269,0.0015890672,0.0015890672,0.0011123471,0.0004767202,0.0006356269,0.0,0.0009534403,0.0007945336,0.0001589067,0.002860321,0.0006356269,0.0001589067,0.0004767202,0.0007945336,0.0001589067,0.0006356269,0.0011123471,0.0006356269,0.0007945336,0.0004767202,0.0006356269
dbg_book07,caesar,dbg,7,12722,0.0810407169,0.0369438767,0.0172142745,0.0161924226,0.0133626788,0.0079390033,0.0107687471,0.0094324792,0.0085678352,0.0075459833,0.0070743594,0.0067599434,0.0088036472,0.0055022795,0.0053450715,0.0039301997,0.0027511398,0.0046376356,0.0024367238,0.0042446156,0.0026725358,0.0024367238,0.0026725358,0.0050306556,0.0030655557,0.0034585757,0.0027511398,0.0023581198,0.0022009118,0.0044804276,0.0029083477,0.0033799717,0.0014934759,0.0036157837,0.0018864958,0.0029869517,0.0023581198,0.0018078918,0.0014148719,0.0014934759,0.0016506839,0.0018864958,0.0021223078,0.0022795158,0.0018864958,0.0013362679,0.0007860399,0.0007860399,0.0019650998,0.0014148719,0.0021223078,0.0015720799,0.0012576639,0.0008646439,0.0015720799,0.0016506839,0.0012576639,0.0011004559,0.0014934759,0.0018864958,0.0012576639,0.0010218519,0.0018864958,0.0020437038,0.0006288319,0.0018078918,0.0012576639,0.0014934759,0.0009432479,0.0014148719,0.0019650998,0.0015720799,0.0014934759,0.0017292878,0.0011004559,0.0017292878,0.0011790599,0.0007860399,0.0018078918,0.0014934759,0.0007860399,0.0017292878,0.0011790599,0.0011790599,0.000235812,0.0011790599,0.0020437038,0.0018078918,0.0010218519,0.0007074359,0.000550228,0.0009432479,0.0013362679,0.0018078918,0.0010218519,0.0010218519,0.0009432479,0.0007860399,0.000314416,0.0012576639
dbg_book08,hirtius,dbg,8,7414,0.0821418937,0.0333153493,0.0223900728,0.0098462368,0.0110601565,0.0176692743,0.0059347181,0.0059347181,0.0052603183,0.0055300782,0.0051254384,0.0059347181,0.0037766388,0.006339358,0.0059347181,0.0045859185,0.003102239,0.0051254384,0.0026975991,0.0012139196,0.0045859185,0.0017534394,0.0025627192,0.0021580793,0.0033719989,0.0008092797,0.0045859185,0.0028324791,0.0040463987,0.0037766388,0.0022929593,0.0026975991,0.0022929593,0.0016185595,0.0017534394,0.0021580793,0.0029673591,0.0010790397,0.0020231994,0.0012139196,0.0022929593,0.0029673591,0.0008092797,0.0021580793,0.0012139196,0.0008092797,0.0006743998,0.0024278392,0.0002697599,0.0014836795,0.0014836795,0.0005395198,0.0013487996,0.0012139196,0.0024278392,0.0037766388,0.0006743998,0.0036417588,0.0014836795,0.0017534394,0.0008092797,0.0013487996,0.0010790397,0.003237119,0.0,0.0016185595,0.00013488,0.0005395198,0.0018883194,0.0033719989,0.0018883194,0.0005395198,0.0006743998,0.0020231994,0.0021580793,0.0004046399,0.0010790397,0.0012139196,0.0014836795,0.0010790397,0.0012139196,0.0010790397,0.0014836795,0.0006743998,0.0,0.0006743998,0.0005395198,0.0008092797,0.0009441597,0.0021580793,0.0028324791,0.0016185595,0.0013487996,0.0005395198,0.0018883194,0.0024278392,0.0016185595,0.0008092797,0.00013488,0.0018883194
dbc_complete,caesar_dbc,dbc,0,37106,0.0786126233,0.0386460411,0.0178407805,0.0179485797,0.0140678057,0.0086778419,0.0092976877,0.0098905837,0.0096210855,0.008650892,0.006872204,0.0057133617,0.0056594621,0.0050935159,0.0046353689,0.0045006198,0.0040963726,0.004177222,0.0048779173,0.003880774,0.0024793834,0.0032609282,0.0030992292,0.0011857921,0.0030453296,0.0028027812,0.0021290357,0.0036921253,0.002533283,0.0021829354,0.0020751361,0.0023176845,0.0035573762,0.0026680321,0.002533283,0.0018595375,0.0023715841,0.0027488816,0.0026680321,0.0025871827,0.0017247884,0.0018595375,0.0018864874,0.0020481863,0.0015361397,0.0024254837,0.0021559856,0.0030992292,0.0022098852,0.0017786881,0.0013205412,0.0022907347,0.0016978386,0.0018595375,0.0014552902,0.0012935913,0.0013205412,0.0015091899,0.0015630895,0.0014013906,0.0011318924,0.0010779928,0.0013205412,0.0007006953,0.0014013906,0.0004581469,0.0016978386,0.0011049426,0.0011049426,0.0012666415,0.0010240931,0.0014283404,0.0012396917,0.0012666415,0.0013744408,0.001347491,0.0012396917,0.0012396917,0.0008623942,0.0007276451,0.0014013906,0.0011588422,0.0010240931,0.0009432437,0.0018056379,0.0009971433,0.001051043,0.0015361397,0.0011049426,0.0007815448,0.0011049426,0.0012127419,0.0006467957,0.0008084946,0.0010240931,0.0008084946,0.0009971433,0.0010240931,0.000889344,0.0010240931
